series,date,value
L52G,2022 DEC,122.4
L52G,2023 JAN,121.8
L52G,2023 FEB,122.7
L52G,2023 MAR,123.4
L52G,2023 APR,125.1
L52G,2023 MAY,126.0
L52G,2023 JUN,126.6
L52G,2023 JUL,127.5
L52G,2023 AUG,127.8
L52G,2023 SEP,128.2
L52G,2023 OCT,128.8
L52G,2023 NOV,128.8
L52G,2023 DEC,129.7
L52G,2024 JAN,129.2
L52G,2024 FEB,130.0
L52G,2024 MAR,130.8
L52G,2024 APR,132.6
L52G,2024 MAY,133.4
L52G,2024 JUN,134.1
L52G,2024 JUL,134.8
L52G,2024 AUG,135.4
L52G,2024 SEP,135.4
L52G,2024 OCT,136.0
L52G,2024 NOV,136.2
L528,1988 JAN,37.6
L528,1988 FEB,37.7
L528,1988 MAR,38.2
L528,1988 APR,38.4
L528,1988 MAY,38.5
L528,1988 JUN,38.6
L528,1988 JUL,38.7
L528,1988 AUG,38.9
L528,1988 SEP,39.0
L528,1988 OCT,39.3
L528,1988 NOV,39.5
L528,1988 DEC,39.5
L528,1989 JAN,40.4
L528,1989 FEB,40.7
L528,1989 MAR,40.7
L528,1989 APR,41.3
L528,1989 MAY,41.6
L528,1989 JUN,41.9
L528,1989 JUL,42.0
L528,1989 AUG,42.3
L528,1989 SEP,42.3
L528,1989 OCT,42.5
L528,1989 NOV,42.6
L528,1989 DEC,42.6
L528,1990 JAN,43.7
L528,1990 FEB,43.7
L528,1990 MAR,44.2
L528,1990 APR,44.6
L528,1990 MAY,44.8
L528,1990 JUN,45.0
L528,1990 JUL,45.4
L528,1990 AUG,45.7
L528,1990 SEP,46.4
L528,1990 OCT,46.7
L528,1990 NOV,46.9
L528,1990 DEC,47.0
L528,1991 JAN,47.4
L528,1991 FEB,47.5
L528,1991 MAR,47.8
L528,1991 APR,49.3
L528,1991 MAY,49.7
L528,1991 JUN,50.0
L528,1991 JUL,50.3
L528,1991 AUG,50.9
L528,1991 SEP,51.1
L528,1991 OCT,51.5
L528,1991 NOV,51.6
L528,1991 DEC,51.7
L528,1992 JAN,51.6
L528,1992 FEB,51.8
L528,1992 MAR,52.3
L528,1992 APR,52.9
L528,1992 MAY,53.1
L528,1992 JUN,53.3
L528,1992 JUL,53.7
L528,1992 AUG,53.9
L528,1992 SEP,54.0
L528,1992 OCT,54.1
L528,1992 NOV,54.4
L528,1992 DEC,54.5
L528,1993 JAN,54.6
L528,1993 FEB,54.6
L528,1993 MAR,54.8
L528,1993 APR,55.4
L528,1993 MAY,54.3
L528,1993 JUN,52.7
L528,1993 JUL,52.4
L528,1993 AUG,52.7
L528,1993 SEP,52.8
L528,1993 OCT,52.7
L528,1993 NOV,55.4
L528,1993 DEC,55.2
L528,1994 JAN,52.9
L528,1994 FEB,55.4
L528,1994 MAR,53.0
L528,1994 APR,53.5
L528,1994 MAY,56.4
L528,1994 JUN,54.3
L528,1994 JUL,54.2
L528,1994 AUG,56.3
L528,1994 SEP,56.0
L528,1994 OCT,54.6
L528,1994 NOV,54.3
L528,1994 DEC,55.6
L528,1995 JAN,54.4
